start	end	text
698900	701740	In this case, the appearing of things in themselves
701740	703420	to sensory cognition.
703420	705300	That's just an illustration.
705300	710540	So now we have a conception of how the phenomenology moves.
710540	713900	That is to say, how we go from one shape of consciousness
713900	715780	to the next.
715780	717940	A complete account would have to also include
717940	719260	an account of where we start.
719260	721780	But we're going to spend a lot of today talking about that.
721780	724340	So I'm going to bracket that for now.
724340	727740	Where does the phenomenology end?
727740	731460	The phenomenology will end.
731460	732580	Oh, we have some math.
739180	741620	All right.
741620	749860	The phenomenology will end when the relation of, let's say,
749860	752620	consciousness, although it won't be called consciousness
752620	754660	anymore, for reasons I'll go into,
754660	767980	or the relation of consciousness to the in itself,
767980	772780	where these things are so tightly identified
772780	776780	that no possible gap between being for itself
776780	780180	and being for consciousness could possibly arise.
780180	782580	That is to say, where being in itself
782580	785740	is being for consciousness, and being for consciousness
785740	788380	is being for being in itself.
788380	791220	Now, there's various names for that that Hegel has.
791220	797180	One is, where truth becomes identical to certainty.
797180	801340	One of the names for the in itself is truth.
801340	803300	Another name for it is, another name
803300	806220	for being for consciousness is certainty.
806220	809300	So where truth and certainty are so closely identified
809300	811820	that none of the skeptical problems
811820	813820	that undermine forms of consciousness
813820	815660	could possibly arise.
815660	818580	The official name for this is absolute knowing.
818580	819740	That's where the book ends.
822660	824780	OK.
824780	828180	So the book ends with section absolute knowing,
828180	830420	or absolute knowledge, absolute citizen.
830420	832620	I've put it on the reading next week,
832620	834740	because although the idea of this class
834740	837660	is let's read all the parts of Hegel you can read,
837660	841740	I want you to also have a sense of what I'm sparing you.
841740	844340	So try to read absolute knowing.
844340	847300	You won't really succeed.
847300	851140	It's kind of unreadable.
851140	855300	Just a word further about reading in this class,
855300	861700	if I were you, I would expect to read every text,
861700	865820	every one of the readings in this class, three times.
865820	868900	Read it once, and you'll be like, what is going on?
868900	870380	I sort of a vague sense.
870380	873620	Read it a second time, you'll understand much better.
873620	877820	So the good news with Hegel is you do actually understand it
877820	879500	the more you read it.
879500	881620	Sometimes it won't feel that way.
881620	884900	Now the phenomenology of getting really into Hegel,
884900	887340	phenomenology in the ordinary sense of what it feels like,
887340	890700	is you're constantly understanding it better.
890700	893500	So you're tempted into the fallacy.
893500	896020	Eventually, I'll understand it all.
896020	899460	But constant improvement doesn't mean
899460	902220	that you'll ever reach any finite value,
902220	905900	because it might plateau.
905900	907180	This is my worry.
907180	908460	This is what keeps me up.
908460	909700	This is time.
909700	913100	This is staying to understanding.
913100	916060	And then actual understanding would be here.
916060	916940	But who knows?
916940	920140	But I'm constantly increasing every time I'm going up,
920140	921700	ever less.
921700	926340	So let me just say a few more things.
926340	928820	I forgot to say something about course mechanics.
928820	935100	My office hours this week are.
938460	952100	Wednesday 4.30 to 6, and Friday 3 to 4.
952100	955420	My office hours will vary from week to week,
955420	958180	because there's all these different job searches going
958180	959620	on in the philosophy department.
959620	962260	And I have to attend some of them.
962260	965940	Some of you have asked me about secondary literature.
965940	968860	My attitude towards secondary literature
968860	973340	is the attitude towards those of you who have cool Gen X
973340	977180	parents probably have towards your doing drugs, which
977180	979940	is they tell you, do not do them.
979940	983140	But if you were to do drugs, your parents
983140	986220	would give you advice on how to do them safely.
986220	989260	They would tell you, OK, don't do heroin.
989260	990900	But if you could smoke a little weed,
990900	993140	we're not going to throw you out of the house.
993140	995580	So my advice is do not do drugs.
996060	997420	Do not read secondary literature.
997420	999980	But if you're going to, I would prefer
999980	1002860	you do it in a controlled, safe environment.
1002860	1005940	And you do the marijuana equivalent of Hegel
1005940	1008740	secondary literature rather than the fentanyl equivalent.
1008740	1011060	I won't even tell you what the fentanyl equivalent of Hegel
1011060	1012460	secondary literature is, because I don't
1012460	1013860	want you to know about it.
1013860	1016340	So if you come to me and you say,
1016340	1020020	stay, I am going to read secondary literature.
1020020	1021220	I'll try to talk you out of it.
1021220	1024940	But if I fail to, I'll give you some advice on what to read.
1025540	1026700	So another analogy.
1026700	1030940	Reading the secondary literature,
1030940	1033900	it's the older version of using AI.
1033900	1036420	So why is it bad to use AI?
1036420	1037820	Do you learn nothing?
1037820	1040860	Are all the answers on Claude or Chachupiti wrong?
1040860	1042780	No, you can learn stuff from that.
1042780	1048460	But if you use AI, you do not develop your own capacities
1048460	1049580	till now.
1049580	1051260	And that is what an education is about.
1051260	1053820	An education is not about us telling you stuff
1053820	1055140	that you didn't know.
1055140	1057260	You could do that on your own.
1057260	1060420	An education is about developing your own capacities.
1060420	1065260	And when you use AI, you do not develop your own capacities.
1065260	1068340	The aim of learning is not that it be known the P.
1068340	1072460	It is for me to know the P. So when
1072460	1074620	you read secondary literature, what you do not develop
1074620	1077540	is your own capacity to read and engage
1077540	1080500	in philosophical text.
1080500	1083460	That was my little speech about why I hate AI
1084100	1087620	and why I hate secondary literature.
1087620	1090860	So another thing that I want to emphasize,
1090860	1095340	the phenomenology of spirit is a conceptual development.
1095340	1097900	So we talk about a process or a development
1097900	1100100	in phenomenology of spirit, a sequence
1100100	1102980	of shapes of consciousness.
1102980	1107180	This is not a historical or temporal sequence.
1107180	1112740	Although these shapes can be and are exhibited historically,
1112740	1115540	they correspond, to varying degrees,
1115540	1118620	to conceptions of knowing, conceptions
1118620	1121500	of the relation of the subject to the object that
1121500	1126660	have been present historically in different periods of history.
1126660	1129660	Now there's a distinction in the phenomenology,
1129660	1131740	which will come up numerous times
1131740	1136740	in this class between what is for consciousness
1136740	1138380	and what is for us.
1138380	1144780	I'm looking for a special chalk that I've already lost.
1148780	1149740	Under the whiteboard.
1149740	1150820	Under the whiteboard.
1150820	1152700	Is that not it?
1152700	1154300	No, it is not.
1154300	1158700	So I think I need the glasses to find the chalk.
1158700	1160380	This will be sorted out later.
1160380	1162860	So there's a distinction in the phenomenology
1162860	1165900	between what is for consciousness.
1168380	1172300	And what is for us.
1175020	1180660	Sometimes, Hegel uses the term in itself.
1180660	1183820	So that marks the distinction between what
1183820	1186940	a given shape of consciousness is aware of.
1186940	1187500	You're counted.
1190620	1193300	What is imminent to a given shape of consciousness?
1193300	1194900	What a given shape of consciousness
1194900	1197220	is aware of of itself?
1197220	1199420	What is for us is something that we
1199420	1201420	understand about that shape of consciousness,
1201420	1204100	but it doesn't understand about itself.
1204100	1206620	So we, as the readers of the phenomenology,
1206620	1208420	sometimes called the phenomenological observer,
1208420	1212420	will note certain things about shapes of consciousness.
1212420	1214780	That's not going to work.
1214780	1216620	That's kind of stupid.
1216620	1217740	Hegel never said that.
1217740	1221140	Or this sort of is like a previous shape of consciousness.
1221140	1223060	Or you can tell that this is going to be a problem.
1223060	1226900	Or consciousness will face this problem.
1226900	1230220	Those are not imminent remarks for consciousness.
1233780	1235540	So one other remark.
1235540	1237540	I talked about this a little bit last time,
1237540	1239620	and I felt like what I did so really unclearly.
1242780	1246260	Hegel uses, I'll just encompass the questions in a second.
1246260	1248300	Hegel is very typical of Hegel.
1248300	1251460	So there's this book called the Hegel dictionary.
1251460	1253260	If you were to read secondary literature,
1253260	1255260	which you should not do, you might be aware of it.
1255260	1258740	And the joke about the Hegel dictionary is every entry,
1258740	1261100	ultimately, if you read all the entries,
1261100	1263900	they ultimately just go back to idea or spirit.
1263900	1265980	Because everything is just another synonym
1265980	1267380	for idea or spirit.
1267380	1272140	So in Hegel, there's this problem of massive,
1272140	1273780	this multiplication of terms that all
1273780	1276380	refer to the same thing, but they mean different things.
1276380	1279380	Or there are different modes of presentation of one
1279380	1280940	underlying reality.
1281020	1295940	So consciousness, self-consciousness, reason,
1295940	1300060	and spirit in the phenomenology really all
1300060	1303060	refer to the same thing.
1303060	1306060	But they refer to that underlay.
1306060	1307420	They refer to spirit.
1307420	1310900	They refer to different grades or degrees
1310900	1314660	of that thing's conception of itself.
1314660	1319820	So that means they are all spirit in itself,
1319820	1324420	but they are not yet spirit for itself.
1324420	1328180	Spirit is in and for itself fully and totally
1328180	1329420	only at the end of the book.
1329420	1331820	Only at the end of the book are we
1331820	1333620	talking about a shape of consciousness
1333620	1338220	that is fully and completely aware of what it is.
1338220	1340900	But all along, they're in itself spirit.
1340900	1345860	So in itself sometimes means something like implicitly.
1345860	1350380	Well, for itself means explicitly.
1350380	1352060	Sorry, the exact opposite.
1356780	1360900	Now, that means when Hegel refers to something,
1360900	1362980	some shape of consciousness as reason,
1363860	1369380	he's referring to it at the highest level of actualization
1369380	1371780	that it is aware of itself.
1371780	1377980	So reason is spirit in itself that is not yet spirit.
1377980	1381380	Sorry, spirit in itself that is not yet spirit for itself.
1381380	1384020	It's only for itself reason.
1384020	1386820	Now, it's also for itself consciousness
1386820	1388100	and self-consciousness.
1388100	1391140	But Hegel doesn't call it that because, or doesn't usually
1391140	1392980	call it that because he wants to draw attention
1392980	1396340	that he's talking about this thing at a level where
1396340	1397700	it's aware of itself as reason.
1401180	1403620	These give rise.
1403620	1406260	And of course, between these is religion.
1406260	1409940	But I'm skipping that because some of you
1409940	1411440	at some point in this class are going
1411440	1414300	to have this lingering suspicion that this is just
1414300	1417380	all super poopy religious stuff.
1417380	1420260	And I'm trying to delay as long as possible
1420980	1423540	the anti-religious reaction to Hegel.
1423540	1425300	So I'm just going to skip the religion thing.
1425300	1427580	So when Hegel talks about reason,
1427580	1431660	he's talking about, in some sense, the same entity.
1431660	1432740	That's not the right word.
1432740	1434860	The same thing, also not the right word.
1434860	1438300	The same phenomenon as consciousness, self-consciousness,
1438300	1443220	and spirit, but at a lower level of its conception
1443220	1446140	of itself, of its understanding of itself as what it is.
1446140	1448660	So the process of the phenomenology of spirit
1448740	1452780	is consciousness coming to itself as spirit,
1452780	1456760	or spirit in itself becoming spirit in and for itself,
1456760	1459420	consciousness becoming fully and completely
1459420	1462300	aware of itself as spirit.
1462300	1463300	OK.
1463300	1465580	Questions about this.
1465580	1466060	Yes.
1466060	1468660	I'm still stumbling a little bit over the fact
1468660	1472100	that in the first distinction between what
1472100	1476900	is for consciousness and what is for us or in itself,
1476900	1480180	how in itself and for us can mean the same thing.
1480180	1481860	For me, they mean the opposite.
1481860	1486180	What is for me, I'm opposing what the object is for me.
1486180	1489740	I'm opposing to be different from what it is in itself.
1489740	1491020	Yes.
1491020	1492740	So OK.
1492740	1497980	So OK, good.
1497980	1506620	So what Hegel means by calling what's for us in itself
1506660	1510660	is that this is what consciousness is only
1510660	1512260	implicitly.
1512260	1516620	What it really is is something that isn't aware of.
1516620	1518980	Yeah.
1518980	1527460	So let me take a non-Hegelian example.
1527460	1539340	You might say the Renaissance doesn't realize
1539340	1544860	that what it is is the dissolution of Catholic era.
1544860	1546340	This is a full example.
1546340	1549340	But in itself, that's what it is.
1549340	1551580	It is this thing that's a better example.
1551580	1555740	Socrates, Hegel actually thinks, the appearance of Socrates
1555740	1558260	within Athenian society is the destruction
1558260	1559420	of Athenian society.
1559420	1562100	Once you have Socrates, the form of life
1562100	1565740	that is classical Athens can survive.
1565740	1569340	So Socrates is in himself the end
1569340	1570900	of the Athenian form of life.
1570900	1573700	But he's not that for himself.
1573700	1576860	That's why he's so surprised they want to put him to death.
1576860	1579460	He's not like, I'm bringing it all to an end, guys.
1579460	1581180	Because if he was, then they'd be like,
1581180	1583420	well, we have to kill you.
1583420	1585000	So there's a distinction between what
1585080	1587320	something is in itself implicitly,
1587320	1589400	but not yet if it's developed and realized for.
1589400	1595240	And what we as the observers can see on who knows what grounds,
1595240	1598000	it will eventually become and become
1598000	1600440	aware of itself explicitly as.
1600440	1601440	There was another one.
1601440	1602840	Yes.
1602840	1607080	Can we say consciousness and knowledge or experience?
1607080	1608280	No.
1608280	1613200	So experience, the technical meaning of experience in Hegel
1613200	1614720	is the process.
1614720	1620480	It's this.
1620480	1623560	It's one shape of consciousness undermining itself
1623560	1624840	and being replaced by an object.
1624840	1626520	That's what experience is.
1626520	1628960	So this, consciousness of an object,
1628960	1633120	is not technically what Hegel means by experience.
1633120	1633600	Yeah.
1633600	1637680	So just back to movie star twist, is that right?
1637680	1642800	So you said initially that knowing is often
1642800	1647560	a conflict with consciousness, perceive of the object.
1647560	1649440	Can you elaborate on that?
1649440	1652400	Because that's two kinds of a relation.
1652400	1655280	And if consciousness perceive of the object,
1655280	1657080	wouldn't that also be knowing?
1657080	1657600	Yeah, OK.
1657600	1659960	So first of all, I just want to note, no,
1659960	1662760	and this is relevant to the beginning of the book,
1662760	1667160	self-certainty, your sense of certainty.
1667160	1669160	So if this chalk is supposed to not get all over,
1669160	1670720	it means the pot is not succeeding.
1671640	1673200	It's because you wait for it.
1673200	1674560	It's probably because I wait.
1674560	1675600	It's probably my fault.
1680600	1683840	So knowing here is an incredible,
1683840	1686280	that's a very, very general term.
1686280	1690360	So we're not assuming at the beginning of the phenomenology
1690360	1694000	that knowing is anything like you would normally
1694000	1695800	assume in philosophy.
1695800	1698480	So it doesn't have a propositional object.
1698480	1701240	It isn't true justified belief.
1701240	1703560	It isn't opposed to illusion.
1703560	1706520	It isn't opposed to mere opinion or belief.
1706520	1709440	In sensuous certainty, just to anticipate,
1709440	1713160	knowing is just, sensuous certainty can't really
1713160	1715080	say this, but it's just sensuously
1715080	1716480	apprehending something.
1716480	1719200	This is knowing.
1719200	1720440	That's knowing.
1720440	1724440	Now that means that knowing in its most general sense
1724440	1727960	is just the being of an object for consciousness.
1728040	1731440	And so before we get, Hegel will develop
1731440	1735600	over the course of phenomenology notions of knowledge
1735600	1737040	that look more like what we normally
1737040	1739000	talk about in epistemology.
1739000	1740960	But at the very beginning, it's just
1740960	1745120	whether this can be an object of consciousness.
1745120	1746000	Yeah.
1746000	1749400	So for consciousness, consciousness
1749400	1750960	cannot see its own developments.
1750960	1752720	It's only from the standpoint of for us
1752720	1754120	that I can see the whole program.
1754120	1754840	At the beginning.
1754840	1755360	Yes.
1755360	1758440	Eventually, consciousness will become self-conscious
1758440	1761720	or aware of its development in the phenomenology.
1761720	1763080	We won't get there.
1763080	1764080	Yeah.
1764080	1766960	I want to clarify imminence, because, for example,
1766960	1773080	in your example, if Socrates himself is not aware of it
1773080	1775960	or himself, he's not aware of the fact
1775960	1778520	that he's a distraction of being in society,
1778520	1782000	then the fact that Socrates is such a distraction
1782000	1785560	would still be imminent, because it's not?
1785560	1789840	If you said it in the courtroom in which Socrates
1789840	1792320	is being tried, no.
1792320	1796200	But it would be imminent if you could,
1796200	1799160	as a Hegelian philosopher, figure out
1799160	1802360	the underlying structure of Athenian society
1802360	1807840	and then show that it cannot allow someone like Socrates
1807840	1809960	within it and that once you even have
1809960	1811800	the possibility of someone like Socrates,
1811920	1813640	it's no longer stable.
1813640	1816880	And that, therefore, historically destroys the Greek city
1816880	1823400	state and give rise eventually to the Roman form of life,
1823400	1825200	then you would have made explicit
1825200	1827120	and you would have done so purely imminently
1827120	1830560	within, so to speak, the logic of these different historically
1830560	1835000	determined shapes of life that Socrates
1835000	1836600	is the end of the Athenian society.
1836600	1838200	But that was merely an illustration.
1838200	1840960	I know, but in that case, it's not
1841200	1844160	imminent for Socrates, but it's imminent for the Athenian
1844160	1845360	society.
1845360	1848200	It can be developed imminently, even
1848200	1851800	if the people in that historical period are not aware of it.
1851800	1854640	Or in other ways, we're getting way ahead of ourselves.
1854640	1859840	History for Hegel is the process of contradictions
1859840	1862360	in themselves being contradictions for themselves.
1862360	1864320	That is to say, implicit contradictions becoming
1864320	1868120	explicit contradictions, people being like, oh, wait.
1868120	1873120	How can it be that all men are created equal in a doubt
1873120	1875120	by the creator of certain inalienable rights
1875120	1879280	if our entire society is founded on the labor of enslave?
1879280	1880840	There was a question over here.
1880840	1881440	Yes.
1881440	1882840	It's just a simple question.
1882840	1885520	So for that process, is Hegel actually
1885520	1888960	being prescriptive or descriptive?
1888960	1890880	Descriptive.
1890880	1891360	Yes.
1891360	1892880	Yeah, just a follow-up.
1892880	1897280	So knowing just become the object of consciousness,
1897280	1901440	how can it be at all with itself or contradict itself?
1901440	1902440	We'll see.
1902440	1903400	We'll see.
1903400	1903880	Yes.
1903880	1905200	Is there some even more meta thing
1905200	1906880	that's supposed to happen to the observer
1906880	1909560	as they move through the shapes of consciousness?
1909560	1910360	Yes.
1910360	1912520	I'm not going to emphasize that in this class,
1912520	1915440	but I'll talk about this a little bit.
1915440	1919720	But you, who I've never read the farm culture before,
1919720	1922400	are supposed to have your consciousness raised
1922400	1925960	to the level of spirit over the course of reading this book.
1925960	1929240	So that is to say, you are all spirit in itself,
1929240	1931840	but not yet spirit for itself, because you are not
1931840	1935880	aware of what you are, namely spirit and what spirit is.
1935880	1938120	So one of the roles the phenomenology of spirit
1938120	1940520	is supposed to play is to get you off to that level.
1940520	1943640	Now, the reason it's supposed to get you off to that level
1943640	1946720	is so that you can then begin Hegelian science.
1946720	1950240	So the phenomenology of spirit is essentially,
1950240	1953040	in a certain way, it's the prerequisite
1953040	1956200	for all of Hegel's classes at the University of Berlin.
1956200	1958480	And in fact, at the beginning of the encyclopedia,
1958480	1961880	he says something to the effect of like,
1961880	1964720	what if you want to take this class without a prerequisite?
1964720	1966840	And the answer is like, you can do that,
1966840	1969800	but there are certain objections you're not allowed to raise.
1969800	1971880	And this book answers all the objections
1971880	1974720	you're not allowed to raise when you take logic
1974720	1977800	at the University of Berlin in the 1820s with Professor
1977800	1979000	Hegel.
1979000	1982240	Now, I should have said this last time, but I didn't say it.
1982720	1984560	So the way you should think about this class
1984560	1986880	is the professor is Hegel.
1986880	1989680	But in classic German professor style,
1989680	1991840	he doesn't show up to his own lectures.
1991840	1995360	He sends his assistant, me, to teach his lectures
1995360	1997360	and to run his office out.
1997360	1999080	So what we're trying to do is figure out
1999080	2002560	what Professor Hegel thought, but he never shows up.
2002560	2006120	So all we have is his books and the guy
2006120	2009320	that he's forced to teach his classes for several years.
2009320	2012600	And also in classic German professor style,
2012600	2015640	we'll then completely ignore me and never help me professionally.
2015640	2018080	OK, that's why.
2018080	2023960	So let's start sense certainty.
2023960	2027760	Before I begin, who found this reading hard?
2027760	2031000	Who found this reading very hard?
2031000	2036480	OK, just to give you an idea of the phenomenology,
2036480	2039360	this is by far the easiest thing in the phenomenology.
2039360	2041760	This is the thing that everyone kind of
2041760	2045280	feels comfortable teaching in the phenomenology.
2045280	2052560	So let us begin with the very opening of sense certainty.
2052560	2056360	Now, in classic style, I have to sit down and read the text.
2056360	2069320	It seems somehow sacrilegious to stand while reading.
2069320	2071840	I don't feel the need to cover my head when reading Hegel,
2071840	2072840	but OK.
2080320	2084400	OK, so let me just dive in.
2084400	2089400	Knowing which is initially our object or immediately
2089400	2094120	can be nothing but immediate knowing of the immediate
2094120	2096360	or of what is.
2096360	2098760	Now, knowing is initially our object.
2098760	2102680	So we have to begin by talking about knowing.
2102680	2105560	We have to begin by talking about a shape of consciousness.
2105560	2108480	Now, this is the beginning.
2108480	2113280	That means we can't have arrived at this shape of consciousness
2113280	2114760	by something else.
2114760	2118680	So it can't have been mediated by a previous shape
2118680	2122320	of consciousness or anything else in knowing.
2122320	2123960	Now, mediation, this is a word you're
2123960	2127600	going to hear a million, million, million times in this class.
2127600	2129960	Just the simplest meaning of mediation,
2129960	2132800	I think just like the most general way
2132800	2137400	to think about it in Hegel, the place you should begin
2137400	2141680	is just mediation just means by means of something else
