start	end	text
507360	509200	are any true contradictions.
509200	517640	But there are no contradictory thoughts.
517640	519840	That is to say, anything that's contradictory
519840	522120	isn't actually thinkable.
522120	525160	So the question is, can you entertain the following thought?
528720	533720	There are no contradictory, self-contradictory thoughts.
542640	548000	But maybe the principle of contradiction
548000	557680	is inaccurate about being capitalized.
557680	559920	Is that a coherent thought?
559920	561720	Well, no, Hegel thinks.
561720	565080	Because insofar as you entertain that,
565080	575760	you're entertaining the thought maybe it
575760	586440	is inaccurate to being that there
586440	591200	are no true contradictions.
597200	599000	Well, what's a true contradiction?
601760	604240	It's a contradictory thought.
604240	607840	So to entertain skepticism about the metaphysical import
607840	612600	of the principle of contradiction is self-underbody.
612600	615360	Because you're attempting to hold in your thought.
615360	618920	There are no self-contradictory thoughts.
618920	621800	But maybe there are some true ones.
621800	624160	Now, this presupposes two things.
624160	628600	It presupposes what's called the constitutive conception
628600	629120	of logic.
635240	643160	That is to say, it presupposes that what you find out in logic
643160	647040	is the structure that thoughts have to have.
647040	648800	Not the structure that they ought to have,
648800	651600	but the structure that thoughts as such have.
651600	654800	And that's why it's incoherent to entertain that
654800	658240	and then entertain skepticism of whether it might be some others.
658240	662520	And secondly, the truth is the predicate of thoughts.
664240	674400	Because that's what allowed me to go from there's
674400	677840	true contradictions, there are true contradictory thoughts.
677840	679760	Without that, this argument doesn't work.
679760	683000	Now, this is an oversimplification
683000	685680	because Hegel doesn't really hold this view.
685680	689000	Doesn't really hold the constitutive conception
689000	690320	of logic.
690320	692640	And this is a thing you might think,
692640	695960	maybe Hegel's thought is vulnerable there.
695960	699440	Maybe he's just assuming a certain idealist view.
699440	704480	Namely, that truth is a matter of thought.
704480	709720	But I actually don't think Hegel is vulnerable on that point.
709720	712400	So here's the idea.
712440	724960	The idea is let's see if we can make skepticism
724960	728720	about the metaphysical import of logic coherent
728720	732880	by distancing reality from thought.
732880	737240	We could say, look, there might be contradictions.
737240	741600	It might be the case that P had not P. Even though we have
741600	745520	to think, we can't think that.
745520	748520	There can't be any P and not P thoughts.
748520	751440	So already, you're like, well, what was I doing?
751440	757800	But already, so then, next move, if P and not P is the case,
757800	763680	then isn't it the case that P and not P is true?
763680	766880	So you could reject that.
766880	768280	That's potentially a question.
768280	770440	But then Hegel, I think his question would be,
770480	773520	what are you even talking about?
773520	779560	How could it be the case that this, without it being true?
779560	782280	I think Hegel thinks this is the most trivial thing
782280	784440	in philosophy.
784440	789960	Q if and only if it's true that Q.
789960	794640	The way in which Donald Davidson is a Hegelian.
794640	797440	Although, actually, there was a lecture here years ago
797440	803000	about what kind of idealist is Hegel.
803000	806040	And my objection at one point was, well, if this is right,
806040	808360	then Donald Davidson is an absolute idealist.
808360	812840	And the speaker was like, yes, exactly, Donald Davidson.
812840	814440	That's not right.
814440	815760	Now we're a good friend of mine.
815760	818680	So then the question is, OK.
818680	822320	So that doesn't look, that Hegel looks pretty good then.
822360	828480	The next thing you could say is P and not P is not a thought.
833360	836840	So you might think, OK, look, sure,
836840	841560	we can't think contradictory whatevers.
841560	845840	But truth is not a property of thoughts.
845840	848240	It's a property of something like propositions.
852320	862280	So I just want to know, when Hegel talks about thoughts,
862280	866000	he doesn't mean activities of human spirit.
866000	870040	He means the content of activities of human spirit.
870040	876880	So thought in Hegel, pedanka, is something
876880	883440	like a content of thought in the psychological sense.
890840	893160	So then I want to know, what does this person
893160	896520	mean by a proposition if they don't mean a content of thought?
899320	901840	And if they really mean, oh, the propositions
901840	903840	are not contents of thoughts, then I
903840	906360	have no idea what they're talking about.
906360	909440	And I'm not sure that they know what they're talking about.
909440	914560	So finally, the final source of possible skepticism
914560	918360	about this argument is you might say, oh,
918360	922120	but logic isn't about propositions.
922120	924280	It's just about our thinking.
924280	929800	But then you've saved logic from having
929800	933720	any metaphysical import by making it purely psychological.
933720	935520	It's just about our psychological activities
935560	937960	rather than its content.
937960	941520	So the Hegelian point is there's no pathway
941520	945480	once you accept that we do logic in the ordinary sense,
945480	948600	without which there's no science of anything.
948600	952600	And once you've accepted that logic is not just psychology,
952600	955920	not about the psychological activity of thought
955920	959440	that happens in space and time, so the content of thought,
959440	964480	then you're on the hook for the metaphysical import of logic.
964480	968160	So that's the short argument to the conclusion
968160	973320	that if we can determine non-trivial facts
973320	979000	about the content of thinking as such, any thinking as such,
979000	982240	we will have determined non-trivial facts
982240	985160	about the structure of being.
985160	989040	That is to say, we can go from logic to medical.
989040	992440	Now, this by itself isn't that interesting
992440	997480	if all it gets to you is trivial logical truth.
997480	1006720	Very few people would deny that the tautologies
1006720	1009600	of predicate logic, or tautologies
1009600	1013360	of propositional logic, are metaphysically necessary.
1016400	1019120	The Hegelian, what makes this more interesting
1019120	1024120	is Hegel is going to argue that the structure according
1024120	1026440	to which thought just as such has to think
1026440	1030520	is significantly richer and more contentful than just
1030520	1033280	the tautologies of propositional logic, much less
1033280	1035400	the tautologies of Aristotelian logic, which are just
1035400	1038880	like the principle contradiction.
1038880	1042560	This is the stuff that I went over last time
1042560	1044960	in a little bit more detail than I went over last.
1044960	1047040	So here's another thing.
1047040	1051120	Hegel fundamentally doesn't think of logic in terms of laws.
1051120	1055640	So we now think of logic as the laws of what is true.
1055640	1057560	What follows from what?
1057560	1059220	And then there are some trivial things
1059220	1061440	that follow from no assumptions whatsoever,
1061440	1063120	and they're just true.
1063120	1065160	Those are the laws of logic.
1065160	1067120	Hegel doesn't really think in those terms.
1067120	1071560	The logic is much more about determinant thought content.
1071560	1074880	So we can replace this and make it
1074880	1079360	a more Hegelian-friendly point if we say not
1079360	1082520	that which is not self-contradictory thoughts,
1082520	1094520	but something like there are no thoughts that are not
1094520	1097800	f not f determinant.
1097800	1109240	That is to say, f not f marks a joint in logic,
1109240	1112080	where every thought has to be determinately
1112080	1114720	on some side of that.
1114720	1116520	Or another example would be, there
1116520	1122440	are no thoughts that are not subject predicate thoughts.
1122440	1134640	But maybe it is inaccurate to being because there
1134640	1151960	are true thoughts that are not f not f determinant
1151960	1155320	or, for example, not subject predicate judgments.
1158440	1161360	So that's more the level at which Hegel is thinking about it.
1161360	1164180	Once you've accepted that all thought as such
1164180	1168120	has a certain structure, you cannot then
1168120	1170040	play the skeptic and be like, but maybe
1170040	1172320	being self-structured like that, because that
1172320	1177560	is pretending to think that all thought
1177560	1181200	is structured a certain way, but certain thoughts that
1181200	1184360	are not structured that way are true or accurate
1184360	1185440	to the structure of each.
1185440	1187640	So at any point in the logic, you're like,
1187640	1189140	OK, maybe I have to think this way,
1189140	1191480	but why is being structured that way?
1191480	1193200	Just reapply this argument.
1193200	1196240	And if the argument of the logic has succeeded,
1196240	1200280	that whatever thought structure you're dealing with in the logic
1200280	1202840	has been imminently derived in such a way
1202840	1207000	that there's no way of doing without that.
1207000	1211520	These are not contingent thought contacts
1211520	1214960	that you can think according to or not as you wish.
1214960	1217400	They are the structure that thought just as such has to do.
1217400	1217920	Yeah.
1217920	1221920	When he says there are no thoughts, such and such,
1221920	1223120	what does there are means?
1223120	1225840	If it means that we just were incapable of taking
1225840	1227840	the thoughts, then that's to reduce the effect
1227840	1229640	of the sidewalk from the logic.
1229640	1231800	And if it means there aren't thoughts out there
1231800	1233120	in this problem, or one of them that
1233120	1235280	is already assuming some sort of sense of imperialism,
1235280	1239600	so it's kind of making questions of where you are.
1239600	1240800	OK, good.
1240800	1256400	How about thought as such cannot but think fill in the blank?
1256400	1259480	So then, what is a thought contact?
1259480	1261800	Something that thought as such can think,
1261800	1264200	not making any claims of a human thinking.
1264200	1267040	And if it's possible and logic to prove that thought just
1267040	1268880	as such has to think in certain ways,
1268880	1271400	then we're off to the risk.
1271400	1272400	OK, yeah?
1272400	1275360	Very simple question because I'm very confused.
1275360	1279800	So my mental activity, my psychological activity
1279800	1284280	of thinking in the normal sense, thinking there exists an exercise
1284280	1286640	that I'd be able to not recognize,
1286640	1290040	is that not the general decision that people recorded?
1290040	1291080	OK, yeah.
1291080	1294680	So your question puts, you're putting your finger
1294680	1297560	on the question, what is the relationship
1297560	1301120	between human thinking, an activity that
1301120	1304240	occurs in space and time, in particular
1304240	1308440	datable historical moment, have to think it
1308440	1311240	as the topic of the logic?
1311240	1314000	And that is not treated in the logic.
1314000	1316720	That is a thing that at some point in the system,
1316720	1319280	we have to figure that out.
1319280	1321480	We have to ask ourselves, at some point in the system,
1321480	1325080	wait, how do I fit into this?
1325080	1326640	I'm just a guy in Germany.
1329640	1330280	I'm finite.
1333120	1335960	I think sometimes I don't always think,
1335960	1338600	I haven't been thinking forever, I'm not going to think forever.
1338600	1340240	What is the relationship between thinking
1340240	1344800	in the psychological sense to thinking in the logical sense?
1344800	1347840	And that, of course, that's not just a question for Hegel.
1347840	1350480	That's a question for everyone who
1350480	1352880	is not the worst form of psychologist about logic.
1355800	1360560	What is the relationship between logic and psychology?
1360560	1362480	Or what is the bearing of logic on thinking
1362480	1364200	in the psychological sense?
1364200	1368320	And so if Hegel's system works out properly,
1368320	1370480	we're going to derive.
1370480	1372160	We don't yet have in science thinking
1372160	1375440	in the psychological sense as a topic.
1375440	1377400	So we have to derive that in science.
1378200	1381880	There's no who in the logic.
1381880	1386000	My view of it, your question is, who is thinking the logic?
1386000	1388960	Who is the subject of the thought of the logic?
1388960	1391360	Is this the thing that people have different views about?
1391360	1396400	My view is, that is not a topic of the logic.
1396400	1401760	That is to say, in logic, we ignore the identity
1401760	1404560	of the subject of thinking.
1404560	1409640	As we do in normal logic, take a logic class.
1409640	1411040	We now call them propositions.
1411040	1413240	But they're just contents of thinking.
1413240	1416000	If you then ask, well, what's the relationship
1416000	1417360	of this to my psychology?
1417360	1419720	Your logic teacher will say, this is not what we're doing.
1419720	1422160	I probably assume it's universal thinking.
1422160	1425520	But find me the logic textbook that
1425520	1429600	wasn't written in Germany in the 19th century that says,
1429600	1431400	intro logic.
1431400	1436440	The topic of this book is universal thinking.
1436440	1438900	Interestingly, there is one 19th century German
1438900	1440360	logician who says this.
1440360	1442120	And it's Frege.
1442120	1457080	In Der Gedanken, which is one of three essays
1457080	1459120	called The Logical Investigations that Frege
1459120	1463600	published late in life after Bertrand Russell had located
1463600	1468840	a paradox in and thus destroyed his Frege's life work, who
1468840	1471160	means that's the basic laws of arithmetic.
1471160	1472760	Frege wrote these three essays trying
1472760	1477240	to shore up what remained of his life's work in logic.
1477240	1481800	The thought, or thought, is the most interesting of them.
1481800	1487640	And he says in that essay that logic is not the study of minds
1487720	1490040	but of the mind.
1490040	1494520	This is a question that is not just about the mind.
1494520	1498280	So Frege, who's supposed to be and is
1498280	1502600	presented as the godfather of good analytic,
1502600	1506080	non-psychologistic logic as opposed to all this German
1506080	1510400	idealist bullshit, in one of the key documents,
1510400	1515720	says that logic is the science of the spirit, of spirit.
1515720	1518360	Not of spirits, but of the spirit.
1518360	1524440	That's a more psychologistic conception of logic than a godfather.
1524440	1527560	So that's another class that I'll someday teach.
1527560	1532480	Frege as bad German idealist.
1532480	1537120	Or why analytic philosophy is, in the Marxist sense,
1537120	1540840	a deviation of German idealism.
1540840	1542320	OK.
1542320	1544320	And then I'll be assassinated by you, Mr. Gritty.
1544320	1547800	OK.
1547800	1550600	So I just want to emphasize a few things,
1550600	1551960	because these are things that I'm
1551960	1555640	worried that you might get the wrong impression about.
1555640	1561240	One, logic is not about thinking in the psychological sense.
1561240	1565120	It's not about the activity of human beings thinking.
1565120	1569280	It's about what thinking just as such has to think.
1569280	1572560	It's about the content of thinking as such.
1572560	1575600	Hegel, unfortunately, just uses the word thought for that.
1575600	1579720	Now, that thought has this bad ambiguity.
1579720	1584440	It can be both Nick Stang's thought
1584440	1586960	and what Nick Stang thinks.
1586960	1589360	It's only the second sense in which we're interested,
1589360	1593920	the sense in which my thought can be exactly the same as yours.
1593920	1597080	And we're not interested in the identity of who
1597080	1598680	or what thinks these thoughts.
1598680	1600720	Yeah.
1600720	1606280	So that means, as Hegel says, page three of the handout,
1606280	1609520	instead of using the expression thoughts,
1609520	1612720	it would thus be better to speak of thought determinations
1612720	1615880	and to avoid any misunderstandings.
1615880	1617800	So what does that mean?
1617800	1621520	It means that in logic, we study the content of thought.
1621520	1624680	So what we study is what makes a thought
1624680	1628200	determinantly the thought it is, namely its content.
1628200	1630960	Or thoughts are individuated.
1630960	1633000	They are what they are in virtue of their content,
1633000	1635880	because what they are is thought content.
1635880	1638000	Now, he's not saying that everything thinks
1638000	1639760	or that everything is a thought.
1639760	1641280	The identity of being and thinking
1641280	1644080	must, however, not be taken in a concrete sense.
1644080	1647080	Hence, what is not to say that a stone that has being
1647080	1649320	is the same as a thinking human being.
1649320	1652480	He's not saying that a stone is a thought.
1652480	1658040	He's saying is there might be stones that we can never,
1658040	1660280	there's going to be facts about stones that human beings can
1660280	1662080	never know.
1662080	1663560	There might be physical objects that
1663560	1665400	are too distant for us to experience.
1665400	1667760	There may be physical objects that are too far in the past
1667760	1669640	for us to know about.
1669640	1674560	But nothing in being can be logically alien to us.
1674560	1678200	Everything has the structure of thought.
1678200	1679480	And since the structure of thought
1679480	1684360	is not these trivial, tautologous things,
1684360	1685920	like the principle of contradiction,
1685920	1688760	it's the very determinate, contentful structure
1688760	1691640	of the logic that is a metaphysics worth calling
1691640	1693560	the end.
1693560	1697080	So this science of just the content of what thought
1697080	1701080	as such as to think will also be the science of being just
1701080	1703520	as being or being or being the traditional definition
1703520	1706120	of metaphysics.
1706120	1710560	Now, everything that we do is a modification of thinking.
1710560	1714800	So willing is thinking about what to do or what is good,
1714800	1716360	what is choice worth.
1716360	1721120	Desiring also is thinking about what you want.
1721120	1724600	Perceiving is seeing what is the case.
1724600	1726720	The content of your perception is also
1726720	1727920	the content of a thought.
1727920	1734760	You see that the book is on the table.
1734760	1741520	Hegel thinks that the marker of thought content is is, is being.
1741520	1743920	So we don't just see objects.
1743920	1746680	We see that things are the case.
1746680	1752200	And so the content of perception is also the content of thought.
1752200	1755040	Thinking can appear to be just one capacity
1755040	1757640	of one kind of animals.
1757640	1759760	That's thinking in the psychological sense.
1759760	1762440	But it can't be just that.
1762440	1767240	If it were just that, if it were like human vision,
1767240	1770240	then the following we'd be coherent.
1770240	1773000	There is an object that we can think about.
1773000	1774760	There are objects that we can think about.
1774760	1777200	And there are objects we cannot think about.
1777200	1778680	Just as there are objects we can see
1778680	1780520	and there are objects we cannot see.
1780520	1784960	Or in Aristotelian terms, thought cannot be an organ.
1784960	1787520	Can't be one capacity among others
1787520	1792880	that has one characteristic object over others.
1792880	1798160	Anything that can be is the, and that
1798160	1800480	means that thinkable is transcendental,
1800480	1804040	not in the Kantian sense, but in the original sense
1804040	1809320	in which unity, truth, and goodness are transcendental.
1809320	1812560	This is traditional doctrine that all beings are one, true,
1812560	1814080	and good.
1814080	1817040	That oneness, truth, and goodness are
1817040	1820280	constitutive of any being.
1820280	1822400	And they're interconverted.
1822400	1825640	Thought is transcendental in something like that sense.
1825640	1828480	All beings just as such are thinkable,
1828480	1829960	and all thought is about being.
1832680	1837720	That's why the purported claim, or one
1837720	1840320	way to get at that point about the transcendental character
1840320	1843040	of thought is the claim there is something that cannot be
1843040	1845440	thought is self-undermining.
1845440	1847360	So if we think of the development
1847360	1850480	of transcendental philosophy after Kant
1850480	1856280	as trying to find a master notion such
1856280	1858000	that what we do in philosophy is we
1858000	1860520	study how that is possible.
1860520	1863200	And then there's nothing outside of that.
1863200	1867600	We can think, OK, in Kant in some way it's representation,
1867600	1870280	but representation is too broad.
1870280	1872240	It can't be cognition, because in Kant
1872240	1873480	there are things we can represent
1873480	1876680	that we can't cognize, et cetera, et cetera.
1876680	1882400	There are other possible candidates for the notion.
1882400	1884120	Some of them aren't going to work.
1884120	1889560	Like, for instance, Robert Pippin in his most recent book,
1889560	1893520	The Culmination, which is about Heidegger in relation
1893520	1897720	to German idealism, thinks Heidegger wins
1897720	1900520	because the thing that philosophy should really
1900520	1903000	be about is meaningfulness.
1903000	1905000	The Deutschland.
1905080	1909480	There's the small problem that that's not what being is.
1909480	1911760	All that taric decay makes that point.
1911760	1914160	But Beidouitzamkite, meaningfulness,
1914160	1918920	is not a plausible candidate for our fundamental access
1918920	1920800	to everything, because the following
1920800	1922920	is perfectly coherent.
1922920	1925120	There are things that are not meaningful to me.
1927960	1931640	So there's something beyond the realm of Beidouitzamkite.
1931640	1936200	So if we want to study the fundamental way in which
1936200	1940280	human beings are onto something, or about stuff,
1940280	1944960	or represent things, use Kantian terminology,
1944960	1947400	that which is meaningful to us is not a good starting point.
1947400	1949920	Because we can obviously be onto or intentionally
1949920	1953160	relate or represent or think about things that
1953160	1955120	are not meaningful to us.
1955120	1959160	There's a lot of stuff that's completely meaningless to me.
1959160	1960720	That sounded dark.
1960720	1967000	Whoops, like formal epistemology.
1967000	1970600	Completely devoid of Beidouitzamkite, but it has been.
1970600	1974400	The following, however, is self-underbinder.
1974400	1977120	There is something I cannot think about.
1977120	1980080	That means that a plausible case can
1980080	1983480	be made for why the fundamental notion
1983480	1987480	in transcendental philosophy, the thing that properly
1987480	1992400	describes human-mindedness relationship to anything
1992400	1999280	that it can be onto, is not meaningfulness but thinking.
1999280	2000160	OK.
2000160	2003480	Now thinking as the activation of a capacity in human beings
2003480	2007120	does not create, generate, et cetera, being.
2007120	2010880	It's not that being is a product of human thinking.
2010880	2013040	It's that any more than human thinking
2013040	2015840	is the product of the laws of logic.
2015840	2018520	It's that there's no thinkable distinction
2018520	2022200	between the structure of the content of thinking as such
2022200	2024400	and the structure of being.
2024400	2024920	OK.
2024920	2026920	Let me just, the first thing, the next thing
2026920	2034960	I'll go over very quickly is what Kantian logic does,
2034960	2037600	Hegelian logic correspond to.
2037600	2039760	In some sense, it's neither of them
2039760	2042600	because it isn't about a capacity or any capacities
2042600	2045320	of human mind.
2045320	2049400	On the one hand, it's more like transcendental logic
2049400	2054000	because it's about the content above.
2054000	2057640	But on the other hand, it's also more like pure general logic
2057640	2059800	because it's about the form of thinking.
2059800	2062600	But really, it's neither slash both of them
2062600	2065520	because in studying a form of thinking,
2065520	2068880	you also uncover all of its content.
2068880	2071520	So something like pure general logic and transcendental logic
2071520	2074640	become kind of the same for Hegel with the proviso
2074640	2077160	that they don't become the same because the content of thought
2077160	2079000	is provided by sensibility.
2079000	2082680	And this one logic, which is both transcendental and pure
2082680	2087600	general, is not about any capacities of the human mind.
2087600	2088440	OK.
2088440	2092560	Now furthermore, so the thing in Kant that most closely
2092560	2100400	corresponds to Hegelian logic is the metaphysical deduction
2100400	2105600	with the proviso that Hegel thinks of his deduction
2105600	2110640	of the categories of thought as more systematic or imminent than Kant's.
2110640	2112360	And there's no separation.
2112360	2115800	We don't first deduce all of the predidational forms of judgment
2115800	2117840	and then deduce the categories of thought.
2117840	2121000	The categories themselves are also predication forms.
2121000	2123640	So the first category of logic is being.
2123640	2126920	That's also the most basic form of predication is.
2126920	2129520	As we'll see next week, it's prior even to the distinction
2129520	2132080	between subject and predicate.
2132080	2138640	So each of the categories of the logic is also a kind of predication.
2138640	2140720	OK.
2140720	2143840	Skip the historical background.
2143840	2147280	A lot of this is not particularly important.
2147280	2147960	OK.
2147960	2150680	I'm going to skip the stuff about method
2150680	2153360	because it will come back in a couple of weeks.
2153360	2154360	OK.
2154360	2168240	So dialectic, remember, is originally in ancient philosophy
2168240	2172760	or in ancient philosophical practice the art of reputation.
2172760	2177840	It's how you, as they say on YouTube, destroy people.
2177840	2182080	That's all the YouTube videos of like Ben Shapiro destroys liberal.
2182080	2183080	That's all dialectic.
2183920	2186760	The worst possible dialectic, although Ben Shapiro
2186760	2191360	has an undergraduate degree in philosophy, I believe,
2191360	2196800	his parents should get a tuition, a reimbursement.
2196800	2197440	OK.
2197440	2199440	I mean, whatever, he's a sophist.
2199440	2201600	Sorry, I don't want to pick on Ben Shapiro.
2201600	2205280	Most so-called public intellectuals, most of public intellectual life
2205280	2207280	is just sophistry.
2207280	2212720	It's just using rhetorical skills to make the weaker argument to be stronger.
2212720	2218280	If you haven't figured this out already, this is some good news.
2218280	2222240	A philosophy education is the best possible education in sophistry.
2222240	2224440	We're not teaching you how to be sophists,
2224440	2229280	but we've given you all the skills necessary for maximal sophistry.
2229280	2232080	You've already probably figured this out.
2232080	2233840	Just with a little philosophical training,
2233840	2237080	you can win any argument with your friends
2237080	2241040	about things you know nothing about because you know as a philosopher,
2241040	2244520	you just immediately move the terrain onto something
2244520	2247000	where knowledge doesn't matter.
2247000	2249600	And then the classic philosophy move is to be like, well,
2249600	2251680	I don't know what that means.
2251680	2253960	And now what you've done is you just all their knowledge
2253960	2257480	has now been made irrelevant because they actually know what it means.
2257480	2259600	And you're like, I don't know.
2259600	2264840	So this is also why philosophy is the best possible preparation for law
2264840	2266760	school.
2266760	2270920	So you have all the skills necessary to be a really, really successful
2270960	2272680	YouTube sophist.
2272680	2276800	I hope you don't do that with your philosophy training.
2276800	2279080	So that's what dialectic is originally.
2283640	2287080	Hegel praises Kant's transcendental dialect.
2287080	2289080	In particular, the Antinomies, he doesn't really
2289080	2290280	care about the rest of the dialectic.
2290280	2292360	He always identifies the dialect with the Antinomies.
2292360	2295040	Because what Kant discovered is that there's
2295040	2299280	a dialectic built into reason itself.
2299280	2303280	That is to say, reason itself generates these contradictions.
2303280	2311680	The problem is that Kant was too freaked out by his own discovery
2311680	2314320	and thought, oh, what that shows is we better not
2314320	2317480	try to cognize the unconditioned in things
2317480	2319320	themselves using the categories.
2319320	2320960	Instead, what he should have realized
2320960	2324720	is that the categories in their fixed determinant relationships
2324720	2327720	to one another generate contradictions.
2327720	2332480	That's the dialectic of the categories themselves.
2332480	2337960	Just those concepts themselves dialectically undermine themselves.
2337960	2342800	Now, Hegel's conception of dialectic is not,
2342800	2346080	as we saw in the phenomenology, is not just negative.
2346080	2349640	It's not just that some set of categories
2349640	2352600	generate contradictions and therefore undermine themselves.
2352600	2356560	It also generates, it's also positive, it's also generated.
2356560	2359360	It generates new categories.
2359360	2362760	And Hegel's name for this kind of philosophy
2362760	2367560	or this kind of logic, which works by uncovering,
2367560	2370920	makes it sound like we're doing something.
