start	end	text
248960	252040	No, sorry.
252040	253880	Okay, in this exposition,
253960	257720	in this exposition of the course of experience,
257720	261440	there is a moment through which the exposition
261440	263000	seems not to correspond
263000	266120	with what is ordinarily understood by experience.
266120	269680	The transition, namely from the first object
269680	272520	and the knowing of it to the other object
272520	276400	about which one says that it is learned from experience
276400	278560	was specified in such a way
278560	280800	that the knowing of the first object
280800	284200	or the being for consciousness of the first in itself
284200	287640	is itself supposed to become the second object.
287640	290240	So Hegel's referring back to some stuff that I skipped,
290240	291960	so I'll just summarize it.
291960	295680	So Hegel's idea is if this is the first,
295680	298000	I'll just erase the thought bubble.
301480	302880	I'll erase the thought bubble
302880	305200	because the thought bubble is now just implied
305200	306360	in everything I said.
306360	309080	Everything that I, everything on the blackboard
309080	311880	until further notice is the name of the thought bubble
311880	316400	because the phenomenology is imminent to consciousness.
316400	318920	We're not talking about objects themselves.
318920	322240	We're talking about consciousness's conception of the object.
322240	324840	What consciousness says is the object of knowledge.
326040	328760	Not what we think the object is or what objects are.
330200	331560	Okay.
331560	336560	So Hegel has said, which he's now referring back to,
337560	340680	is that if this is the first shape of consciousness,
342160	344200	the new shape of consciousness
345080	347400	is that what consciousness knows,
359160	364160	the second object is the relationship
365160	370160	of the consciousness to the object in the first shape.
375920	379680	This relationship is what the object is.
379680	381280	I should actually probably know.
385320	386960	Okay.
386960	388040	Now why isn't it?
389800	391520	So let me give you an example.
392480	394120	Here's an example.
396440	400880	In Kant, the critique of theory is it begins
400880	403800	with what Kant thinks of as the natural presupposition.
403800	406680	I know things in themselves.
411360	414520	And I do throw through sensing.
417520	419280	That is, we're intuiting them.
420280	423560	The argument of the transcendental aesthetic
423560	426720	is that this does not relate you to things in themselves.
426720	428400	You don't know things in themselves.
428400	431280	You know their appearances to you.
431280	434040	So what you know is not this,
434040	436040	but how this relates to you
436040	438360	and how it relates to you in this way.
438360	440840	You know not this,
440840	443120	but how this appears to you in intuition.
444120	448880	So Hegel thinks when you find out that you don't know this,
449000	451040	that this is not a way of knowing this,
452600	455680	the next shape of consciousness is that what you know
457200	461520	is that things relating to you in this way.
463040	464240	So in the Kantian example,
464240	469240	this would be the appearance of things in themselves.
474560	477920	So you start out by claiming to know a certain object.
477920	481360	Your knowing isn't a way of knowing that object.
481360	482640	What it's a way of knowing
482640	485840	is how that object relates to you in that relation.
486920	489760	So that the second object is the relation
489760	493440	of the first object to consciousness in the first form.
494320	497880	Or it's the first relation of consciousness to the object.
500520	503400	By contrast, it ordinarily seems that we learn
503400	506720	from experience of the untruth of our first concept
506720	509400	in another object that we perhaps come across
509400	511720	serendipitously and extrinsically,
511720	514720	that the only thing that is left to us
514720	518320	is the pure grasping of what is in and for itself.
518320	523320	Ordinarily we assume that we think we know stuff
523520	525680	and then we come upon some other objects.
525680	529320	We go explore and we're like oh,
529320	530960	that's not what knowledge was,
530960	533920	but that's a merely empirical case
533920	535400	of undermining knowledge.
535400	539280	We're interested in a sort of categorical collapse
539280	541640	of an entire conception of knowledge,
541640	543600	not some particular things of knowledge.
543600	545480	That's like finding out that Fargo
545480	548200	is not the capital of North Dakota.
548200	551920	This observation of the matter is our addition,
551920	554440	whereby this series of, sorry,
554440	557000	however, based on the point of view given above,
557000	560360	the new object shows itself to have come to be
560360	563220	through a reversal of consciousness itself.
563220	567740	So this new object is, it comes to be
567740	571140	through the undermining of this shape of consciousness.
571140	572900	Then there's a kicker.
572900	574980	This observation of the matter,
574980	578420	namely that the object of the second shape of consciousness
578420	582060	is the first relation to the first object.
582060	583980	It's the appearing of things of themselves,
583980	585220	not things of themselves.
586980	591780	This observation of the matter is our addition,
591780	594140	whereby the series of experiences traversed
594140	597540	by consciousness is elevated into a scientific progression
597540	600400	and which is not there for the consciousness
600400	602020	that we are observing.
602020	607020	So this transition and the fact that the second object
608020	610540	is the first relation to the first object
611580	615840	is not, Hegel says, for consciousness.
622300	624460	It is for us.
626620	628140	What does that mean?
628140	632520	What that means is that if we draw the thought bubble,
633660	638020	this shape of consciousness conceives of itself
638020	641100	as knowing this object in this way,
641100	643580	but the fact that this object
643580	648580	is the first relation to the first object
655500	658980	is not something that it is in self-consciousness.
658980	661260	That is to say, the shape of consciousness
661260	664300	does not know that it arose from this.
664300	667300	It's not constitutive of this shape of consciousness
667300	670920	that it is aware of itself as the successor of this.
670920	672900	Because why would it be?
672900	676940	It's not constitutive to knowing this in this way
676940	680940	that you know that you arose from that.
680940	682720	This is our addition.
683740	685660	So there's a distinction in the phenomenology,
685660	687540	in every scene of the phenomenology,
687540	692380	between what is for us and what is for consciousness.
692380	694140	That is to say, there's a distinction between
694140	696500	what we say about consciousness
696500	698860	and what consciousness says about itself.
698860	700920	And what consciousness says about itself
700940	702760	has to always be imminently developed
702760	704720	from consciousness itself.
704720	709720	So the for us remarks can be preliminary
711280	713640	or they can indicate the shape of the science,
713640	716960	but they can't themselves be,
716960	719080	they can't include the undermining.
721080	724640	Otherwise, the imminence of the exposition would be.
726160	729960	So what we do scientifically is order these things
730040	731320	in this way.
731320	733440	But that, this thing undermines itself
733440	735200	is not something we do to it.
735200	736320	It does it to itself.
737340	740480	But we, what's sometimes referred to
740480	742240	as the phenomenological observer,
742240	744880	the reader and the author of the phenomenology,
744880	747960	we order these shapes of consciousness in this way.
747960	750160	And that generates a scientific development.
751360	754040	So now we have a principled reason
754040	758400	for the beginning, the order, and the end.
758400	760420	And in any Hegelian science,
760420	763320	you always have to ask yourself where it begins,
763320	766320	what the principle of movement of it is,
766320	767480	and where it ends.
769000	771660	Okay, reading a little bit further.
771660	775360	However, this is in fact also the same situation
775360	777600	already discussed above concerning the relation
777600	779680	of the exposition to skepticism.
779680	782240	Namely, that each and every result which emerges
782240	785040	from a non-truthful knowing should not coalesce
785040	786600	into an empty nothing,
786600	788520	but rather must necessarily be grasped
788520	791760	as a nothing of that of which it is the result.
791760	793680	A result which contains the truth
793680	796760	that the previous knowing has within itself.
796760	801120	So this result is not an abstract nothing.
801120	803100	It's not just the giving up on knowledge.
803100	806560	It's this determinant negation of this.
806560	808600	It's, there's something it isn't.
808600	809520	It isn't that.
811040	815480	It's for us specifically not that shape of consciousness
815480	818280	because that shape of consciousness undermined itself.
819560	824560	And this relation is what Hegel calls being the truth of.
835600	838520	So what that means is this,
838520	842880	when it thinks itself fully undermines itself,
842920	847920	and this is what resolves the problem in a principled way.
848080	851600	So this contains whatever was true in this.
852880	857880	Now that means truth is not on or off.
858220	859720	Things are not true or not.
861000	862680	Truth here is a relational notion,
862680	865040	being the truth of something else.
865040	867700	And so things can be more or less true.
867700	868920	This is the truth of that.
868920	872080	The third shape is the truth of the second shape.
872120	874840	As we do this, we get truer and truer.
877280	879760	Now truth for Hegel is gonna turn out to be
879760	883060	the agreement of something with its concept.
884240	887940	So what this is is,
895200	898040	knowledge becoming more and more
898040	899920	in agreement with its concept.
899920	902000	Now what is the concept of knowledge?
902800	903640	We don't know yet.
903640	906600	It's up to consciousness to say.
906600	909880	It's up to the exposition of the phenomenology
909880	913120	to unfold from consciousness what the concept
913120	914400	of knowledge is.
914400	917000	If we just said what the concept of knowledge is
917000	920400	from the beginning, we would be begging the question.
920400	922400	We would be falling into the second form
922400	923960	of the dilemma of the criteria.
925320	926160	Yeah.
926160	928520	Can you explain what it means for something
928520	931580	to contain the truth of something else?
932420	934420	In what sense does the thing on the left
934420	935260	contain the truth of it?
935260	938580	I mean in a certain way, this schematic diagram
938580	941060	is all that can be said about that.
941060	944960	What for something to contain the truth of something else
944960	949960	is for it to be the principled successor to that.
951780	956400	So X is the truth of Y if X is the principled successor
956400	960460	of Y in virtue of Y negating itself.
962540	963380	Yes.
963380	964780	Yes, I have a question.
964780	966620	You've been making a distinction between
966620	968060	what we say about consciousness
968060	970140	and what consciousness says for itself.
970140	975140	But anything we assert as consciousness says for itself,
977740	979700	we're saying it equals something.
979700	980540	Sorry, say that again?
980540	981540	Okay.
981540	984780	So there's the distinction between what we say
984780	989620	about consciousness, namely we order the past consciousness
989660	993700	and what consciousness says for itself.
995540	998860	But how can making this at all means
998860	1002540	whatever the wire gets cut by others?
1002540	1003380	Yeah, okay.
1003380	1006740	So by consciousness, Hegel doesn't mean
1006740	1008300	like consciousness in general.
1008300	1010660	He means by a particular shape of consciousness.
1011740	1013300	Of course, we're conscious.
1013300	1016900	But when Hegel refers to something as consciousness,
1016900	1020660	he means it's consciousness and nothing more.
1020660	1023500	Not, and this goes back to a point from earlier,
1023500	1027460	not that it isn't in any way that further thing,
1027460	1030260	but it hasn't yet grasped itself as that further thing.
1031560	1034660	So Hegel won't call us consciousness,
1034660	1036220	although of course we're conscious,
1036220	1038180	because we are something more.
1038180	1041540	In particular, insofar as you are reading
1041540	1042860	the phenomenology of spirit,
1042860	1046080	you're always one step ahead of a shape of consciousness.
1046080	1048660	You always know something more than it about itself.
1048660	1051040	So you are not merely identical
1051040	1052780	with that shape of consciousness.
1052780	1055560	So one way of distinguishing this
1055560	1058520	is thinking about what a shape of consciousness
1058520	1061040	is implicitly and what it is explicitly.
1061040	1062560	All of these shapes of consciousness
1062560	1064500	are implicitly spirit.
1064500	1067180	They're implicitly absolute no.
1067180	1072180	Because they contain in themselves the imminent criteria,
1072300	1074880	which when thought through by themselves
1074880	1076220	will lead to absolute no.
1077740	1079840	But they are not explicitly absolute no.
1081080	1086080	So we are, I'm more than just implicitly consciousness.
1086960	1090280	I'm explicitly something more than consciousness.
1090280	1092720	And so Hegel won't refer to me
1092720	1094920	or himself as mere consciousness.
1096520	1097360	Yeah.
1097360	1100680	So choosing the successor of truth,
1100680	1102760	it's like, for example,
1102760	1104960	is there a absurd stage of consciousness?
1104960	1108560	That's the truth of the first stage of consciousness,
1108560	1110960	also preserved and disturbed in the system.
1110960	1111800	Yes, yes.
1111800	1113680	So the truth of is transitive.
1115960	1117920	So we're going to try to figure that out.
1117920	1119200	So you guys speak up.
1119200	1121320	Oh, we're going to be trying to figure that distinction
1121320	1124600	between consciousness as we felt a number more
1124600	1127480	and consciousness, what we can claim about it,
1127480	1131920	could be similar to how we can claim thought and object.
1131920	1134400	So we are making claims about consciousness
1134400	1135880	as it appears to us,
1135880	1138880	just to speak between us making a claim about consciousness
1138880	1142280	and consciousness as it's also looking more important.
1142280	1146440	Yes, except that our claims about consciousness
1146440	1150680	are not supposed to be one of the shapes of consciousness
1150680	1152240	in this sequence.
1152240	1153080	Thank you.
1153080	1154760	Okay, let me just, let me just,
1154760	1156720	let's just read a little bit further.
1156720	1159560	However, this is in fact also the same situation
1159560	1161600	already discussed above concerning the relation
1161640	1163520	of this exposition to skepticism,
1163520	1164800	namely that each and every result
1164800	1166480	which emerges from a non-truthful known
1166480	1168360	should not coalesce into an empty nothing.
1168360	1171000	So not just the rejection of knowledge,
1171000	1172840	but rather must be necessarily grasped
1172840	1175120	as the nothing of that of which it is the result,
1175120	1176720	or result which contains the truth
1176720	1179040	that the previous knowing has within itself.
1179040	1181120	Here it presents itself as follows.
1181120	1182880	Well, what at first appeared as the object
1182880	1186400	generating for consciousness into a knowing of the object,
1186400	1189960	and in itself becomes a being for consciousness
1189960	1192920	of the in itself, the latter is the new object,
1192920	1195320	the being of consciousness for the in itself.
1195320	1197280	That's this point.
1197280	1200880	The being of consciousness for the object is the new object.
1200880	1203240	The previous being of object,
1203240	1205000	being of the object for consciousness,
1205000	1207000	that's what this is, is the new object.
1208600	1212320	As a result, a new shape of consciousness comes on the scene
1212320	1215000	for which the essence is something different
1215000	1216960	from what was the essence for the preceding shape.
1216960	1219560	Okay, so let me just say something about the word essence.
1219560	1221760	Hegel has this, the word here is vesen.
1224840	1227960	So now vesen in German is more general
1227960	1232120	than essence in English.
1233080	1237520	It can be a being, like an entity can also be a vesen.
1237520	1242520	So what Hegel means by vesen is whatever the standard
1243000	1246480	of whatever it is that knowledge has to correspond to
1246480	1248200	in order to count as knowledge.
1248200	1249640	So you might think, well, isn't that just
1249640	1250760	what the object is?
1252000	1254240	Yes, at the beginning, but over the course
1254240	1257080	of the phenomenology, something other than the object
1257080	1259560	is going to come to count as the vesen.
1259560	1264360	So the progress of the phenomenology is that consciousness,
1264360	1267480	knowing something that's an object will turn out
1267480	1268880	to be incoherent.
1268880	1271800	And then the vesen will turn out to be the subject.
1271800	1274880	It will turn out to be that what the subject has to do
1274880	1278080	in order to know objects is come into an agreement
1278080	1279520	with itself.
1279520	1281360	But we're not going to actually read those sections
1281360	1282880	of phenomenology.
1282880	1286000	So just understand, vesen is like a functional term.
1286000	1289800	It means whatever is that which knowledge has to correspond
1289800	1293440	to or agree with in order to be knowledge.
1293440	1297160	But for now, the object is playing the vesen term.
1300040	1304160	And in fact, consciousness is more or less identified,
1305120	1309160	or identical for Hegel, with a conception of knowledge
1309160	1312120	with the object plays the role of vesen.
1312120	1315680	Okay, this is what's so great about only teaching
1315680	1316880	the easy parts of Hegel.
1318880	1321280	In case you're wondering, this is like the easiest
1321280	1322360	ten pages of Hegel.
1323800	1326360	Okay, as a result of, if you guys go,
1326360	1327600	oh, I don't know how I'm getting through this,
1327600	1331720	like you have no idea, like it won't get that bad
1331720	1335240	in this class, but it gets infinitely worse than this.
1335240	1338840	As a result, a new shape of consciousness comes on the scene,
1338840	1341200	you can already read that, is this circumstance
1341200	1344280	which guides the whole series of shapes of consciousness
1344280	1345680	in their necessity.
1346640	1348280	So that's super crucial.
1348280	1351280	The progression of the shapes of consciousness
1351280	1353360	has to be necessary.
1353360	1356560	There has to be no arbitrariness or contingency
1356560	1359400	in one shape of consciousness being the successor
1359400	1360560	to the previous one.
1360600	1362720	That's why the merely historical reading
1362720	1364880	of the phenomenology has to be wrong.
1365800	1368480	The fact that one shape of consciousness
1368480	1371120	historically succeeds another,
1371120	1375120	it does not by itself demonstrate any necessity.
1375120	1378320	So if all this were, were a super high level
1378320	1380800	philosophical account of intellectual history,
1380800	1383000	it would demonstrate nothing about necessity.
1384280	1388880	What it could be, so there's like the pure historical reading,
1388880	1393560	this is literally just a catalog of what happens in history
1393560	1396040	but described in terms of historical period
1396040	1399160	self conceptions, that can't be right.
1399160	1403320	What it could be right is it's a description, it's that,
1403320	1407000	plus each of those historically extant conceptions
1407000	1411040	of knowledge incoherently undermines itself
1411040	1412960	and necessitates the next one.
1412960	1416800	So that's a little bit better, still wrong because A,
1416800	1418360	Hegel explicitly says that it's false,
1418800	1421080	the book ends, Hegel says something that's completely
1421080	1423440	in the battle with that, which we will read.
1423440	1425520	And furthermore, the chronology is wrong.
1425520	1429280	In fact, Newtonian science occurred after the ancient Greeks.
1429280	1431360	So, sorry guys, okay.
1432840	1435320	There's very few pure historical readers
1435320	1437040	of the phenomenology of the spirit left
1437040	1439160	but I have like a bad reaction to this
1439160	1442800	because I survived my first Hegel class partly
1442800	1446200	by just ingesting Michael Forster's book
1446200	1447960	about the phenomenology of the spirit.
1448400	1449240	The first half of which is very good,
1449240	1451000	it's all about Hegel's response to skepticism
1451000	1452760	but the rest of which is just the pure intellectual
1452760	1455480	distribution of phenomenology, which is very,
1455480	1457560	which is bad in pernicious.
1457560	1460320	However, it is just this necessity itself
1460320	1462480	or the emergence of the new object
1462480	1465040	which presents itself to consciousness
1465040	1468880	without consciousness knowing how this happens to it.
1468880	1473880	So this consciousness is unaware of its own history.
1474000	1476920	Now at a certain point in the phenomenology,
1476920	1481000	that will change and a shape of consciousness
1481000	1484400	will become explicitly self-conscious
1484400	1487120	of its development out of logically prior
1487120	1488400	to self-consciousness.
1488400	1489920	But we're not there yet.
1492920	1495200	Through this, there enters into the movement
1495200	1498160	of consciousness a moment of the in itself
1498160	1500080	or of being for us.
1500080	1502640	So this is a different use of in itself.
1502640	1506420	So sometimes Hegel uses in itself to mean this.
1507120	1510640	Sometimes what Hegel means but in itself
1510640	1515640	is a contrast between what is in itself and for itself.
1521720	1525240	And that approximately means what something
1525240	1530240	implicitly is without grasping it.
1532600	1536200	And for itself, what explicitly it is
1537920	1541800	what it grasps itself as such.
1543440	1548520	So let me give you an example.
1553880	1557240	Let's use the standard bad movie, The Hero.
1558960	1563960	Luke Skywalker is the savior of the galaxy
1564960	1569960	and the savior of the Jedi in himself from the beginning.
1570640	1575640	But only in Return of the Jedi is he that form himself.
1575700	1578900	I shy away from Star Wars examples
1578900	1581560	because I find that they're one of the few pieces
1581560	1586000	of pop culture that I share, that I know,
1586000	1587680	that my students also know.
1587680	1591000	And so then I tend to use them too much.
1591000	1593800	And then people think that I'm way more into Star Wars.
1594680	1598200	So then I will try, I will try to use the Star Wars
1598200	1599320	reference experiment.
1601160	1606160	Theologically, Jesus is the son of God in himself
1606600	1609580	before he takes on or accepts that identity.
1609580	1612280	Then he is the son of God for himself.
1614960	1618680	It is this circumstance, however it is just this necessity.
1618680	1622480	So these shapes of consciousness are in themselves
1623840	1626560	gauges on the path to absolute nothing.
1626560	1629640	But they are not those for themselves
1629640	1631800	because consciousness is not aware of that.
1631800	1634720	And in the phenomenology, the in itself,
1634720	1639400	but not for itself, can be identified with what is for us
1639400	1641120	and not for consciousness.
1641120	1644860	So in the phenomenology we can identify these risks,
1644860	1649860	what is for us, and what is for consciousness.
1654280	1655640	Okay.
1655640	1658600	So just a note on Hegelian tactical terminology.
1659760	1662560	People, I've had this experience multiple times
1662560	1663400	that students would be like,
1663400	1664880	I've been reading the phenomenology on my own
1664880	1665800	and I totally get it.
1665800	1667760	Could you just tell me though what the in itself
1667760	1669360	and the for itself are?
1669360	1672320	And the reason that question is very hard to answer
1672320	1674520	and slightly frustrating to be asked
1674520	1678640	is the meaning of Hegel's tactical terminology,
1678640	1681240	like everything else, has to be developed
1681280	1683480	imminently over the course of the science.
1684520	1687520	So these are to some extent like my external remarks
1687520	1690740	because I've read this book many times helping you along.
1690740	1694240	But properly speaking, the meaning of the in itself
1694240	1696400	or the for itself is going to change
1696400	1698320	over the course of the phenomenology.
1698320	1700000	So the only thing that we can say
1700000	1701960	that's like genuinely true illuminating
1701960	1704360	is some kind of like general structural features
1704360	1706120	of how these terms are used.
1706120	1708960	And in particular, when we get to the logic,
1709960	1712000	I'll actually, the in itself is actually in the part
1712000	1713320	of the logic we want to talk about.
1713320	1717720	The logic develops in principle and purely imminently
1717720	1720520	the pure technical meaning of these terms.
1725280	1727000	Which does not present itself for the consciousness
1727000	1729680	which is itself comprehended in the experience itself.
1729680	1732420	However, the content of what emerges to us
1732420	1734160	is for consciousness.
1734160	1736800	And we comprehend only what is formal in it
1736800	1738460	or its pure emergence.
1738480	1743300	For consciousness, what is emerged is only as object.
1743300	1745780	That is to say, what's emerged is an object
1745780	1747140	that it claims to know.
1747140	1749900	For us, what is emerged is that the same time emerges
1749900	1752460	as movement and coming to be.
1752460	1756380	But we understand this as having come to be from that.
1756380	1758700	Well remember, movement is just the name
1758700	1762260	for this purely conceptual process
1762260	1766020	of one conception of knowledge undermining itself
1766020	1768940	and giving rise purely logically to another.
1768940	1770780	And this process and this movement
1770780	1772180	is not happening in time.
1773700	1778340	Okay, through this necessity, this path to science
1778340	1781260	is itself already science.
1783180	1785280	Earlier he said, this doesn't appear to be science,
1785280	1788780	but now he's telling you, this is actually science.
1788780	1790900	But we don't know what science is.
1790900	1794660	So that is a provisional remark for something
1794660	1796540	that will have to be proven by the end of the book.
1796540	1799520	In fact, in doing the science of logic,
1799520	1801140	sorry, the phonology of spirit,
1801140	1802940	we are actually doing science.
1802940	1804540	This is actually scientific now.
1806260	1808860	And according to its content, it is thereby the science
1808860	1811140	of the experience of consciousness.
1811140	1814420	Okay, now those of you who pay very close attention,
1814420	1816140	actually this may not have been in the reading,
1816140	1818060	but if you have a copy of the book,
1818060	1821380	you'll notice that the title page of this book
1821380	1824180	is Science of the Experience of Consciousness.
1824180	1828040	So if you look at this book, it has one title page
1828040	1832340	that says, Phenomenology of Spirit,
1832340	1835600	and then it has a preface and an introduction.
1835600	1837860	And then there's another title page saying,
1837860	1840020	Science of the Experience of Consciousness.
1840020	1842260	Why does this book have two titles?
1842260	1845260	The reason is that the original title of this book
1845260	1848160	was the Science of the Experience of Consciousness.
1848160	1851680	Halfway through the book, Hegel decided
1851680	1853740	that it needed a second half
1853740	1855060	and that it should bear the title,
1855060	1857020	Phenomenology of Spirit.
1857020	1860060	The problem is the first half of the book had been printed.
1861420	1863220	And in the early 19th century,
1863220	1865580	paper is very, very valuable.
1865580	1870580	So the printer was not gonna pulp half of a book.
1873060	1876540	So instead, they printed the rest of the book
1876540	1878160	with the original title page
1878160	1880340	and then just added another title page.
1880340	1881180	And you can in fact,
1881220	1883300	that card first has proven this
1883300	1888020	by examining the very most original first editions
1888020	1889620	of the Phenomenology of Spirit.
1889620	1891500	So here at the Thomas Fisher Rare Book Library,
1891500	1893420	we have one of the very early editions,
1893420	1895300	but there were even earlier ones.
1895300	1897140	This is maybe boring, but it's extremely interesting
1897140	1899580	to me, so I'm gonna bore you with it.
1899580	1901540	There was a practice.
1901540	1905940	So book publishers were also booksellers in,
1905940	1908860	sorry, printers were also booksellers
1909500	1911260	in the early 19th century.
1911260	1915780	So a publisher or a printer that was publishing a book,
1915780	1918140	you could subscribe to that book
1918140	1921780	and they would send you the parts of the book
1921780	1923620	as they were getting printed.
1923620	1926900	So an 18th century book is printed
1926900	1928380	on these gigantic pieces of paper
1928380	1931860	that are folded together and then they print off them.
1931860	1934340	You could subscribe and as those got printed,
1934340	1935860	they would send them to you.
1935860	1938180	And then when the whole thing was done,
1938180	1940860	you would send it back, they would bind it together
1940860	1942460	and then you'd have your book.
1942460	1945420	And so Eckhart first found one of these
1945420	1947100	of the Phenomenology of Spirit
1947100	1951100	and he proved on the basis of the folds of the page
1951100	1956100	that the original first fold of the Phenomenology of Spirit
1956780	1960540	has the title, Science of the Experience of Consciousness
1960540	1964300	and then when they asked for everybody's folds back,
1964300	1966400	they cut off a couple of pages
1966400	1968200	and then added the rest of it.
1968200	1970560	And he has a claim about these various pages
1970560	1974000	in Hegel's not lost the papers that were left
1974000	1977160	over his death about what those missing pages are.
1977160	1978280	This unfortunately is not something
1978280	1979840	we're gonna be able to cover in this class.
1979840	1981920	Now I realize that this may be very sad.
1981920	1986920	Okay, so why did he go from calling it
1988080	1990680	a science of the experience of consciousness
1990680	1992280	to the Phenomenology of Spirit?
1993320	1996200	Because the original plan of the book
1996360	2001360	is that it ends, so the book was originally supposed
2001720	2006720	to contain consciousness, self-consciousness,
2013320	2014160	and reason.
2017640	2022640	Spirit is where the, this is the original plan.
2022920	2024200	This is the original plan.
2024200	2026520	This is something called the Four Phenomenology.
2026520	2028840	This is where the second half of the book starts.
2028840	2030720	So the original plan of the book
2030720	2032760	didn't have the spirit section.
2032760	2036960	So then for some reason, Hegel decided
2036960	2039960	the book needed a second half
2039960	2043840	that includes spirit, religion, and absolute damage.
2046560	2048560	Yeah, spirit, religion, and absolute damage.
2048560	2053560	And he decided that what the whole thing is
2058480	2061640	is not just the science of the experience of consciousness
2061640	2063440	but the Phenomenology of Spirit.
2069680	2072480	So really, this is what was originally
2072480	2074880	the science of the experience of consciousness.
2075880	2078000	So now it's possible, and this is the kind of thing
2078000	2079360	that we would have to deal with
2079360	2081440	if we were doing a class of the whole Phenomenology,
2081440	2084680	that this description of the project of the Phenomenology
2084680	2086640	applies only to this.
2086640	2089760	And then, imminently, within the reason section,
2089760	2092960	we transition to a different project.
2092960	2096600	I don't think that's quite right, but regardless,
2096600	2097800	what does it mean that the whole thing
2097800	2099240	is a Phenomenology of Spirit?
2099240	2100840	Okay, so now this goes back to a question
2100840	2102040	that was asked earlier.
2104200	2105400	Who asked this question?
2105400	2107280	The meeting of Phenomenology.
2107320	2108520	Yes, Isaac, okay.
2108520	2112400	So Phenomenology, right, just linguistically,
2113720	2117080	means the logos of Phenomena.
2118000	2120360	Oh, this board is really messy, I apologize for that.
2120360	2122880	But it might just, you know, they do not need to,
2122880	2126280	they do not need to add weight for this.
2130400	2133640	Okay, Phenomenology.
2137280	2142280	This is the logos, or the rational account of Phenomena,
2152000	2153080	of Appearance.
2155320	2160320	So this is the science of the Appearance of Spirit.
2160320	2165320	So it's the scientific account of how Spirit appears
2170800	2175440	up until, or up and until, Spirit is fully
2175440	2176880	in and for itself.
2176880	2180000	It's fully explicit for itself that it's Spirit.
2180000	2182000	Now, what is the appearance of Spirit?
2182000	2184520	It's not like Spirit is, it's the appearance
